## Sun Jul 11 04:36:26 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --temp_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_jkofz70s/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
USA300HOU_RS00005	525378.HMPREF0793_1044	1.2e-220	772.3	COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,4GXGA@90964|Staphylococcaceae	91061|Bacilli	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
USA300HOU_RS08455	1280.SAXN108_1611	8e-33	146.0	COG0268@1|root,COG0268@2|Bacteria,1VEGX@1239|Firmicutes,4HNJS@91061|Bacilli,4GZKB@90964|Staphylococcaceae	91061|Bacilli	J	Binds directly to 16S ribosomal RNA	rpsT	-	-	ko:K02968	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S20p
USA300HOU_RS08460	1280.SAXN108_1612	4.3e-175	620.5	COG1466@1|root,COG1466@2|Bacteria,1TRM0@1239|Firmicutes,4HBB4@91061|Bacilli,4GX6J@90964|Staphylococcaceae	91061|Bacilli	L	DNA polymerase III delta' subunit	holA	-	2.7.7.7	ko:K02340	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta
USA300HOU_RS08465	1280.SAXN108_1613	0.0	1352.4	COG0658@1|root,COG2333@1|root,COG0658@2|Bacteria,COG2333@2|Bacteria,1TS9U@1239|Firmicutes,4H9M4@91061|Bacilli,4GX9S@90964|Staphylococcaceae	91061|Bacilli	S	Competence protein ComEC	comEC	-	-	ko:K02238	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	Competence,DUF4131,Lactamase_B
USA300HOU_RS08470	1280.SAXN108_1614	2.2e-84	318.2	COG2131@1|root,COG2131@2|Bacteria,1V3PU@1239|Firmicutes,4HCDG@91061|Bacilli,4GYFW@90964|Staphylococcaceae	91061|Bacilli	F	ComE operon protein 2	comEB	-	3.5.4.12	ko:K01493	ko00240,ko01100,map00240,map01100	M00429	R01663	RC00074	ko00000,ko00001,ko00002,ko01000,ko02044	-	-	-	dCMP_cyt_deam_1
USA300HOU_RS08475	1280.SAXN108_1615	2.2e-93	348.6	COG1555@1|root,COG1555@2|Bacteria,1VA3W@1239|Firmicutes,4HKJ1@91061|Bacilli,4GZEI@90964|Staphylococcaceae	91061|Bacilli	L	DNA uptake protein and related DNA-binding	comEA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K02237	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	HHH_3,SLBB
USA300HOU_RS08480	1280.SAXN108_1616	4.2e-135	487.3	COG0500@1|root,COG2226@2|Bacteria,1TQUF@1239|Firmicutes,4HD2W@91061|Bacilli,4GXQN@90964|Staphylococcaceae	91061|Bacilli	Q	Methyltransferase	yqeM	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
USA300HOU_RS08485	1280.SAXN108_1617	2.7e-58	231.1	COG0799@1|root,COG0799@2|Bacteria,1VA2Z@1239|Firmicutes,4HKEJ@91061|Bacilli,4GZ5X@90964|Staphylococcaceae	91061|Bacilli	J	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation	rsfS	GO:0003674,GO:0005488,GO:0006417,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0043021,GO:0043023,GO:0044087,GO:0044877,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090071,GO:2000112,GO:2000113	-	ko:K09710	-	-	-	-	ko00000,ko03009	-	-	-	RsfS
USA300HOU_RS08490	1280.SAXN108_1618	3.3e-106	391.0	COG1713@1|root,COG1713@2|Bacteria,1V6Y1@1239|Firmicutes,4HHRY@91061|Bacilli,4GXMI@90964|Staphylococcaceae	91061|Bacilli	H	HD superfamily hydrolase involved in NAD metabolism	yqeK	-	-	-	-	-	-	-	-	-	-	-	HD
USA300HOU_RS08495	1280.SAXN108_1619	1.2e-103	382.5	COG1057@1|root,COG1057@2|Bacteria,1V3SK@1239|Firmicutes,4HGXK@91061|Bacilli,4GYY8@90964|Staphylococcaceae	91061|Bacilli	H	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	nadD	GO:0000309,GO:0003674,GO:0003824,GO:0004515,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.7.7.18	ko:K00969	ko00760,ko01100,map00760,map01100	M00115	R00137,R03005	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like
USA300HOU_RS08500	1280.SAXN108_1620	4.3e-46	190.3	COG1534@1|root,COG1534@2|Bacteria,1VEGM@1239|Firmicutes,4HKC7@91061|Bacilli,4GZE5@90964|Staphylococcaceae	91061|Bacilli	J	RNA-binding protein	yhbY	-	-	ko:K07574	-	-	-	-	ko00000,ko03009	-	-	-	CRS1_YhbY
USA300HOU_RS08505	1280.SAXN108_1621	7.2e-152	543.1	COG0169@1|root,COG0169@2|Bacteria,1TQRY@1239|Firmicutes,4HD4R@91061|Bacilli,4GY9D@90964|Staphylococcaceae	91061|Bacilli	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
USA300HOU_RS08510	1280.SAXN108_1622	1.1e-206	725.7	COG1161@1|root,COG1161@2|Bacteria,1TPM2@1239|Firmicutes,4HAAF@91061|Bacilli,4GY1E@90964|Staphylococcaceae	91061|Bacilli	S	GTPase YqeH	yqeH	GO:0003674,GO:0003824,GO:0003924,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0022613,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0042254,GO:0044085,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0060255,GO:0065007,GO:0071840,GO:0080090,GO:0090329,GO:2000104,GO:2000112,GO:2000113	-	ko:K06948	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1
USA300HOU_RS08515	1280.SAXN108_1623	4.8e-96	357.1	COG2179@1|root,COG2179@2|Bacteria,1V6KM@1239|Firmicutes,4HGAV@91061|Bacilli,4GXSI@90964|Staphylococcaceae	91061|Bacilli	S	Mitochondrial PGP phosphatase	yqeG	-	-	ko:K07015	-	-	-	-	ko00000	-	-	-	HAD_2,Hydrolase,Hydrolase_like,PGP_phosphatase
USA300HOU_RS08520	1280.SAXN108_1624	2.1e-115	421.8	COG0775@1|root,COG0775@2|Bacteria,1U7WK@1239|Firmicutes,4HB8K@91061|Bacilli,4GXZ1@90964|Staphylococcaceae	91061|Bacilli	F	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	mtnN	-	3.2.2.9	ko:K01243	ko00270,ko01100,ko01230,map00270,map01100,map01230	M00034,M00609	R00194,R01401	RC00063,RC00318	ko00000,ko00001,ko00002,ko01000	-	-	-	PNP_UDP_1
USA300HOU_RS08535	1280.SAXN108_1626	1.6e-140	505.4	2CC33@1|root,33T6Z@2|Bacteria,1VS9Y@1239|Firmicutes,4HUGW@91061|Bacilli,4GZZ9@90964|Staphylococcaceae	91061|Bacilli	S	Staphylococcal/Streptococcal toxin, OB-fold domain	-	-	-	ko:K11040	ko05150,map05150	-	-	-	ko00000,ko00001,ko02042	-	-	-	Stap_Strp_tox_C,Stap_Strp_toxin
USA300HOU_RS08540	1280.SAXN108_1631	6.6e-181	640.2	COG3177@1|root,COG3177@2|Bacteria,1V2WQ@1239|Firmicutes,4IPIY@91061|Bacilli,4H1BH@90964|Staphylococcaceae	91061|Bacilli	S	Fic/DOC family	-	-	-	-	-	-	-	-	-	-	-	-	Fic
USA300HOU_RS08545	1280.SAXN108_1632	1.4e-215	755.4	COG1914@1|root,COG1914@2|Bacteria,1TP0Q@1239|Firmicutes,4HAYE@91061|Bacilli,4GX41@90964|Staphylococcaceae	91061|Bacilli	P	COG1914 Mn2 and Fe2 transporters of the NRAMP family	ycsG	-	-	-	-	-	-	-	-	-	-	-	Nramp
USA300HOU_RS08550	1280.SAXN108_1633	5.5e-138	496.9	COG1540@1|root,COG1540@2|Bacteria,1TR8X@1239|Firmicutes,4H9PF@91061|Bacilli,4GY60@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0271 (lamB) family	-	-	-	ko:K07160	-	-	-	-	ko00000	-	-	-	LamB_YcsF
USA300HOU_RS08555	1280.SAXN108_1634	8.8e-259	899.0	COG0439@1|root,COG0439@2|Bacteria,1TP16@1239|Firmicutes,4HARK@91061|Bacilli,4GXKY@90964|Staphylococcaceae	91061|Bacilli	I	Acetyl-CoA carboxylase (Biotin carboxylase subunit)	-	-	6.3.4.14,6.4.1.2	ko:K01961	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04385	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,CPSase_L_D2
USA300HOU_RS08560	1280.SAXN108_1635	1.4e-72	278.9	COG0511@1|root,COG0511@2|Bacteria,1VH23@1239|Firmicutes,4HQHP@91061|Bacilli,4GZEN@90964|Staphylococcaceae	91061|Bacilli	I	biotin carboxyl carrier protein	-	-	-	ko:K02160	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742	RC00040,RC00367	ko00000,ko00001,ko00002	-	-	-	Biotin_lipoyl
USA300HOU_RS08565	1280.SAXN108_1636	4.6e-188	663.7	COG1984@1|root,COG1984@2|Bacteria,1TR6U@1239|Firmicutes,4HACC@91061|Bacilli,4GY9H@90964|Staphylococcaceae	91061|Bacilli	E	allophanate hydrolase subunit 2	kipA	-	-	ko:K06350	-	-	-	-	ko00000	-	-	-	CT_A_B
USA300HOU_RS08570	1280.SAXN108_1637	5.4e-138	496.9	COG2049@1|root,COG2049@2|Bacteria,1TTBZ@1239|Firmicutes,4HHJJ@91061|Bacilli,4GWVS@90964|Staphylococcaceae	91061|Bacilli	E	allophanate hydrolase subunit 1	kipI	-	-	ko:K06351	-	-	-	-	ko00000	-	-	-	CT_C_D
USA300HOU_RS08575	1280.SAXN108_1638	4.3e-80	303.9	COG0782@1|root,COG0782@2|Bacteria,1V44S@1239|Firmicutes,4HGZU@91061|Bacilli,4GXB7@90964|Staphylococcaceae	91061|Bacilli	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	greA	GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576	-	ko:K03624	-	-	-	-	ko00000,ko03021	-	-	-	GreA_GreB,GreA_GreB_N
USA300HOU_RS08580	1280.SAXN108_1639	6.2e-111	406.8	COG0572@1|root,COG0572@2|Bacteria,1TQ4V@1239|Firmicutes,4HAVR@91061|Bacilli,4GXVU@90964|Staphylococcaceae	91061|Bacilli	F	Cytidine monophosphokinase	udk	GO:0003674,GO:0003824,GO:0004849,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008655,GO:0009058,GO:0009112,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009224,GO:0009259,GO:0009260,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019205,GO:0019206,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043094,GO:0043097,GO:0043174,GO:0043771,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046035,GO:0046049,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	2.7.1.48	ko:K00876	ko00240,ko00983,ko01100,map00240,map00983,map01100	-	R00513,R00516,R00517,R00962,R00964,R00967,R00968,R00970,R01548,R01549,R01880,R02091,R02096,R02097,R02327,R02332,R02371,R02372,R08232	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PRK
USA300HOU_RS08585	1280.SAXN108_1640	3e-245	854.0	COG0826@1|root,COG0826@2|Bacteria,1TPRE@1239|Firmicutes,4HBEG@91061|Bacilli,4GXT0@90964|Staphylococcaceae	91061|Bacilli	O	Peptidase U32 family	yrrO	-	-	ko:K08303	ko05120,map05120	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_U32,Peptidase_U32_C
USA300HOU_RS08590	1280.SAXN108_1641	1.1e-175	622.5	COG0826@1|root,COG0826@2|Bacteria,1TQIZ@1239|Firmicutes,4HA2T@91061|Bacilli,4GX7X@90964|Staphylococcaceae	91061|Bacilli	O	Peptidase U32	yrrN	-	-	ko:K08303	ko05120,map05120	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_U32
USA300HOU_RS08595	525378.HMPREF0793_2356	9.6e-83	313.2	COG4122@1|root,COG4122@2|Bacteria,1UF4M@1239|Firmicutes,4HE9E@91061|Bacilli,4GY9T@90964|Staphylococcaceae	91061|Bacilli	S	O-methyltransferase	yrrM	-	2.1.1.104	ko:K00588	ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110	M00039,M00350	R01942,R06578	RC00003,RC00392	ko00000,ko00001,ko00002,ko01000	-	-	-	Methyltransf_3
USA300HOU_RS08600	1280.SAXN108_1643	2.2e-48	198.0	COG3906@1|root,COG3906@2|Bacteria,1VBZ5@1239|Firmicutes,4HMSU@91061|Bacilli,4GZEC@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0473 family	-	-	-	-	-	-	-	-	-	-	-	-	DUF1292
USA300HOU_RS08605	1280.SAXN108_1644	2.7e-73	281.2	COG0816@1|root,COG0816@2|Bacteria,1V6ER@1239|Firmicutes,4HH04@91061|Bacilli,4GYXF@90964|Staphylococcaceae	91061|Bacilli	J	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA	yrrK	GO:0000966,GO:0000967,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360	-	ko:K07447	-	-	-	-	ko00000,ko01000	-	-	-	RuvX
USA300HOU_RS08610	1280.SAXN108_1645	1.7e-41	174.9	COG4472@1|root,COG4472@2|Bacteria,1VAC4@1239|Firmicutes,4HKD0@91061|Bacilli,4GZR5@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0297 family	yrzL	-	-	-	-	-	-	-	-	-	-	-	DUF965
USA300HOU_RS08615	1280.SAXN108_1646	0.0	1714.1	COG0013@1|root,COG0013@2|Bacteria,1TPK6@1239|Firmicutes,4H9XC@91061|Bacilli,4GX2H@90964|Staphylococcaceae	91061|Bacilli	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain	alaS	GO:0003674,GO:0003824,GO:0004812,GO:0004813,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006418,GO:0006419,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016597,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0031406,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.7	ko:K01872	ko00970,map00970	M00359,M00360	R03038	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DHHA1,tRNA-synt_2c,tRNA_SAD
USA300HOU_RS08620	1280.SAXN108_1647	0.0	1614.4	COG0507@1|root,COG0507@2|Bacteria,1TPZH@1239|Firmicutes,4HATQ@91061|Bacilli,4GWWI@90964|Staphylococcaceae	91061|Bacilli	L	DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity	recD2	-	3.1.11.5	ko:K03581	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AAA_30,HHH_4,HHH_5,UvrD_C_2
USA300HOU_RS08625	1280.SAXN108_1648	1.7e-93	349.0	COG0457@1|root,COG0457@2|Bacteria,1V1HX@1239|Firmicutes,4HG5V@91061|Bacilli,4GX8R@90964|Staphylococcaceae	91061|Bacilli	S	Tetratricopeptide repeat	yrrB	-	-	-	-	-	-	-	-	-	-	-	TPR_1,TPR_16,TPR_2,TPR_6,TPR_8
USA300HOU_RS08630	1280.SAXN108_1649	5e-220	770.0	COG0482@1|root,COG0482@2|Bacteria,1TPIZ@1239|Firmicutes,4HBJ6@91061|Bacilli,4GXSK@90964|Staphylococcaceae	91061|Bacilli	J	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	mnmA	GO:0002097,GO:0002098,GO:0002143,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360	2.8.1.13	ko:K00566	ko04122,map04122	-	R08700	RC02313,RC02315	ko00000,ko00001,ko01000,ko03016	-	-	-	tRNA_Me_trans
USA300HOU_RS08635	1280.SAXN108_1650	1e-212	745.7	COG1104@1|root,COG1104@2|Bacteria,1TP21@1239|Firmicutes,4HA6H@91061|Bacilli,4GWWS@90964|Staphylococcaceae	91061|Bacilli	E	Cysteine desulfurase	iscS	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
USA300HOU_RS08640	1280.SAXN108_1651	2.9e-190	671.0	COG2141@1|root,COG2141@2|Bacteria,1TQWJ@1239|Firmicutes,4HBMR@91061|Bacilli,4GXUM@90964|Staphylococcaceae	91061|Bacilli	C	COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	-	-	-	-	-	-	-	-	-	Bac_luciferase
USA300HOU_RS08650	1280.SAXN108_1653	5.4e-23	112.8	COG3237@1|root,COG3237@2|Bacteria,1VPRR@1239|Firmicutes,4HS09@91061|Bacilli,4GZWN@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0337 (CsbD) family	-	-	-	-	-	-	-	-	-	-	-	-	CsbD
USA300HOU_RS08655	1280.SAXN108_1654	5e-72	276.9	COG1959@1|root,COG1959@2|Bacteria,1V3QB@1239|Firmicutes,4HHCF@91061|Bacilli,4GYY5@90964|Staphylococcaceae	91061|Bacilli	K	Transcriptional regulator	cymR	GO:0001047,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0032991,GO:0032993,GO:0042802,GO:0042803,GO:0043933,GO:0044085,GO:0044212,GO:0046983,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0051291,GO:0065003,GO:0071840,GO:0097159,GO:1901363	-	ko:K17472	-	-	-	-	ko00000,ko03000	-	-	-	Rrf2
USA300HOU_RS08660	1280.SAXN108_1655	3.4e-236	823.9	COG2256@1|root,COG2256@2|Bacteria,1TPVV@1239|Firmicutes,4HAIS@91061|Bacilli,4GXP3@90964|Staphylococcaceae	91061|Bacilli	L	COG2256 ATPase related to the helicase subunit of the Holliday junction resolvase	rarA	-	-	ko:K07478	-	-	-	-	ko00000	-	-	-	AAA,AAA_assoc_2,MgsA_C,RuvB_N
USA300HOU_RS08665	1280.SAXN108_1656	1.9e-141	508.4	COG1179@1|root,COG1179@2|Bacteria,1TQ7A@1239|Firmicutes,4H9KZ@91061|Bacilli,4GXAN@90964|Staphylococcaceae	91061|Bacilli	H	COG1179 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1	yrvM	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016829,GO:0016835,GO:0016836,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0061503,GO:0061504,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	-	ko:K22132	-	-	-	-	ko00000,ko03016	-	-	-	ThiF
